,Cities,Max Temp,Lat,Lng,Humidity,Wind Speed,Cloudiness,Country
301,mecca,89.83,21.43,39.83,32,1.79,95,SA
302,faya,68.0,18.39,42.45,52,3.22,94,SA
303,boat of garten,50.0,57.25,-3.76,100,5.82,100,GB
304,labuhan,79.0,-6.88,112.21,87,7.9,100,ID
305,megalopoli,75.99,37.4,22.14,72,2.71,75,GR
306,chokwe,63.84,-24.53,32.98,73,4.99,0,MZ
307,okhotsk,39.16,59.38,143.3,75,6.51,96,RU
308,atambua,76.06,-9.11,124.89,84,4.32,92,ID
309,leningradskiy,29.05,69.38,178.42,96,4.21,100,RU
310,phalaborwa,60.8,-23.94,31.14,72,4.7,1,ZA
311,noda,71.01,35.94,139.86,82,8.05,75,JP
312,bethel,64.4,41.37,-73.41,48,10.29,1,US
313,ancud,55.0,-41.87,-73.82,93,4.7,90,CL
314,lata,59.0,40.16,-8.33,80,1.43,0,PT
315,santa rosa,86.0,14.31,121.11,88,2.24,20,PH
316,omis,68.0,43.44,16.69,60,3.36,100,HR
317,tasiilaq,39.2,65.61,-37.64,51,10.29,79,GL
318,gigant,52.39,46.51,41.34,61,3.47,98,RU
319,kosamba,83.01,21.48,72.95,52,7.49,56,IN
320,mahajanga,75.2,-15.72,46.32,94,3.36,20,MG
321,jalu,88.74,29.03,21.55,16,11.81,0,LY
322,abu kamal,85.12,34.45,40.92,26,9.84,0,SY
323,yar-sale,33.98,66.83,70.83,94,3.98,35,RU
324,kaeo,60.01,-35.1,173.78,3,5.99,10,NZ
325,port-cartier,59.0,50.03,-66.87,33,13.87,75,CA
326,mount pleasant,80.01,32.79,-79.86,78,11.59,90,US
327,kajiado,56.03,-1.85,36.78,98,6.78,10,KE
328,methoni,75.99,36.82,21.7,72,3.38,45,GR
329,aswan,81.84,24.09,32.91,32,5.39,0,EG
330,mumford,82.54,5.26,-0.76,84,7.61,82,GH
331,laguna,75.99,38.42,-121.42,49,9.17,1,US
332,nacala,69.94,-14.54,40.67,78,8.95,0,MZ
333,adjumani,67.57,3.38,31.79,94,1.86,100,UG
334,mandurah,55.0,-32.55,115.7,81,13.38,26,AU
335,batticaloa,81.73,7.71,81.69,76,13.15,100,LK
336,xining,49.48,36.62,101.77,41,2.71,71,CN
337,mackenzie,50.0,55.3,-123.17,66,10.29,90,CA
338,roald,42.8,62.58,6.13,81,9.17,91,NO
339,brae,44.6,60.4,-1.35,81,8.05,89,GB
340,chulym,61.03,55.1,80.96,62,3.18,27,RU
